Title,Decsription,Link
"Bão đang mạnh lên, gây mưa nhiều hơn và dịch lên hướng bắc","Nhiều nghiên cứu cho thấy biến đổi khí hậu đang làm tăng nhiệt độ đại dương và không khí, do đó khiến bão thay đổi.",https://vnexpress.net/bao-dang-manh-len-gay-mua-nhieu-hon-va-dich-len-huong-bac-4793679.html
Hố tử thần nơi 100 con voi ma mút chết kẹt,MỸHố sụt sâu ít nhất 20 m ở Nam Dakota có thể quá trơn và dốc để những con voi ma mút trèo ra cách đây 190.000 năm.,https://vnexpress.net/ho-tu-than-noi-100-con-voi-ma-mut-chet-ket-4793571.html
Mùa bão Đại Tây Dương 2024 hoạt động trên mức bình thường,Cơ quan Quản lý Khí quyển và Đại dương Quốc gia Mỹ (NOAA) dự báo mùa bão Đại Tây Dương 2024 sẽ có hoạt động trên mức bình thường tới hết tháng 11.,https://vnexpress.net/mua-bao-dai-tay-duong-2024-hoat-dong-tren-muc-binh-thuong-4793470.html
Loài cá mập có gương mặt lợn,"Cá mập Angular có đôi mắt to, mõm màu hồng, lỗ mũi lớn và nha bì rõ rệt, khiến chúng trông giống một con lợn đầy lông.",https://vnexpress.net/loai-ca-map-co-guong-mat-lon-4793221.html
Bão hình thành và 'chết' như thế nào?,"Bão hình thành khi có áp suất khí quyển thấp ở vùng nước ấm, dần mạnh lên rồi lại suy yếu hoặc tan hẳn khi quét qua mặt đất. 38",https://vnexpress.net/bao-hinh-thanh-va-chet-nhu-the-nao-4793387.html
Tàu chở phi hành gia tư nhân của SpaceX trở về Trái Đất,"MỸPhi hành đoàn Polaris Dawn của SpaceX hạ cánh ở vịnh Mexico, kết thúc nhiệm vụ 5 ngày trên quỹ đạo, bao gồm chuyến đi bộ không gian thương mại đầu tiên trên thế giới. 36",https://vnexpress.net/tau-cho-phi-hanh-gia-tu-nhan-cua-spacex-tro-ve-trai-dat-4793217.html
Trung Quốc lên kế hoạch xây dựng căn cứ trên Mặt Trăng,"Trung Quốc tiết lộ kế hoạch xây dựng căn cứ trên cực nam của Mặt Trăng vào năm 2035, cuối cùng sẽ tạo ra một loạt các điểm kết nối trên bề mặt hành tinh này. 124",https://vnexpress.net/trung-quoc-len-ke-hoach-xay-dung-can-cu-tren-mat-trang-4793192.html
'Địa phương phân loại rác theo hạ tầng hiện có',"Luật Bảo vệ môi trường 2020 quy định bắt buộc phân loại rác tại nguồn từ 2025, tuy nhiên các địa phương tùy tình hình thực tế sẽ triển khai ở quy mô phường, xã sau đó nhân rộng.",https://vnexpress.net/dia-phuong-phan-loai-rac-theo-ha-tang-hien-co-4793390.html
Khai mạc Techfest vùng Bắc Trung Bộ và duyên hải miền Trung năm 2024,,https://vnexpress.net/khai-mac-techfest-vung-bac-trung-bo-va-duyen-hai-mien-trung-nam-2024-4792374.html
Tiến sĩ Việt phát triển công nghệ tạo thuốc diệt tế bào ung thư,,https://vnexpress.net/tien-si-viet-phat-trien-cong-nghe-tao-thuoc-diet-te-bao-ung-thu-4778234.html
'Địa phương phân loại rác theo hạ tầng hiện có',"Luật Bảo vệ môi trường 2020 quy định bắt buộc phân loại rác tại nguồn từ 2025, tuy nhiên các địa phương tùy tình hình thực tế sẽ triển khai ở quy mô phường, xã sau đó nhân rộng. 19",https://vnexpress.net/dia-phuong-phan-loai-rac-theo-ha-tang-hien-co-4793390.html
'Nghiên cứu neutrino mở ra nhiều cơ hội cho Việt Nam',BÌNH ĐỊNHTiến sĩ Cao Văn Sơn cho biết nghiên cứu neutrino (hạt ma) có thể ứng dụng trong giám sát các lò phản ứng hạt nhân hoặc khoa học vũ trụ.,https://vnexpress.net/nghien-cuu-neutrino-mo-ra-nhieu-co-hoi-cho-viet-nam-4792526.html
Pháo Paris - siêu vũ khí tầm xa của Thế chiến thứ nhất,"Pháo Paris được thiết kế bởi Fritz Rausenberger, một kỹ sư của nhà sản xuất vũ khí Đức Krupp, có tầm bắn hiệu quả tới 125 km - vượt xa bất cứ thứ gì đã được chế tạo trước đó. 18",https://vnexpress.net/phao-paris-sieu-vu-khi-tam-xa-cua-the-chien-thu-nhat-4793055.html
Tại sao cá voi chết lại nổ tung?,"Cá voi chết thường chìm xuống đáy biển và phân hủy dần, nhưng đôi khi cũng dạt vào bờ biển, phồng lên như bóng bay và phát nổ mạnh.",https://vnexpress.net/tai-sao-ca-voi-chet-lai-no-tung-4792946.html
Tàu thăm dò Trung Quốc phát hiện núi lửa trên Mặt Trăng,Tàu thăm dò Hằng Nga 5 của Trung Quốc đã mang về bằng chứng cho thấy Mặt Trăng có núi lửa phun trào cách đây 120 triệu năm. 17,https://vnexpress.net/tau-tham-do-trung-quoc-phat-hien-nui-lua-tren-mat-trang-4792991.html
Siêu sóng thần cao 200 m khiến Trái Đất rung chuyển suốt 9 ngày,"Các nhà khoa học tìm hiểu nguyên nhân và xác định đỉnh một ngọn núi rơi xuống biển, hình thành sóng thần cao bằng tòa nhà chọc trời gây ra rung chấn suốt nhiều ngày trong năm 2023. 46",https://vnexpress.net/sieu-song-than-cao-200-m-khien-trai-dat-rung-chuyen-suot-9-ngay-4792742.html
Công ty Nhật Bản sẽ phóng tàu đổ bộ Mặt Trăng thứ hai,Công ty ispace lên kế hoạch cho Nhiệm vụ 2 - phóng tàu đổ bộ Resilience và robot Tenacious lên Mặt Trăng nhờ tên lửa Falcon 9 của SpaceX. 38,https://vnexpress.net/cong-ty-nhat-ban-se-phong-tau-do-bo-mat-trang-thu-hai-4792816.html
Trái Đất sắp có thêm mặt trăng nhỏ trong 2 tháng,"Nhóm nghiên cứu từ Đại học Complutense Madrid phát hiện một tiểu hành tinh rộng 10 m trở thành ""mặt trăng mới"" sẽ quay quanh Trái Đất từ tháng 9 đến tháng 11. 13",https://vnexpress.net/trai-dat-sap-co-them-mat-trang-nho-trong-2-thang-4792874.html
Zimbabwe sắp giết 200 con voi để giải quyết nạn đói,Zimbabwe sẽ tiêu diệt 200 con voi trong tình hình quốc gia này đang phải đối mặt hạn hán chưa từng có dẫn tới thiếu thốn lương thực. 54,https://vnexpress.net/zimbabwe-sap-giet-200-con-voi-de-giai-quyet-nan-doi-4792743.html
Sa mạc Sahara mưa nhiều bất thường,"Đợt mưa lớn gấp nhiều lần mức trung bình tháng 9 hàng năm đang trút xuống sa mạc Sahara, một trong những khu vực khô nhất trên Trái Đất. 22",https://vnexpress.net/sa-mac-sahara-mua-nhieu-bat-thuong-4792735.html
Máy bơm nhiệt lớn nhất Hà Lan tận dụng nước thải,Máy bơm nhiệt mới sẽ lấy nhiệt dư từ khoảng 65 triệu lít nước thải đã qua xử lý để sưởi ấm cho khoảng 20.000 hộ gia đình.,https://vnexpress.net/may-bom-nhiet-lon-nhat-ha-lan-tan-dung-nuoc-thai-4792500.html
Nhà khoa học Việt 'nhân bản' giống sâm Ngọc Linh,"Nhóm nhà khoa học Trung tâm Công nghệ Sinh học TP HCM nghiên cứu tạo dòng sâm Ngọc Linh thể đa bội với ưu thế lá dày, cuống lá to, cây cao hơn so với cây tự nhiên. 37",https://vnexpress.net/nha-khoa-hoc-viet-nhan-ban-giong-sam-ngoc-linh-4792161.html
'Lò đốt địa ngục' - bom hẹn giờ đầu tiên trong lịch sử,"Thế kỷ 16, kỹ sư Italy chỉnh sửa hai chiếc thuyền thành vũ khí mang tên hellburner, hay lò đốt địa ngục, với sức phá hủy chưa từng thấy.",https://vnexpress.net/lo-dot-dia-nguc-bom-hen-gio-dau-tien-trong-lich-su-4792660.html
Rắn chàm nôn ra rắn đuôi chuông còn sống,Con rắn chàm lớn cùng lúc nôn ra hai nạn nhân là rắn chuột và rắn đuôi chuông để tránh mắc nghẹn và chạy trốn do hoảng sợ khi thấy có người gần đó.,https://vnexpress.net/ran-cham-non-ra-ran-duoi-chuong-con-song-4792335.html
Niềm đam mê chế tạo nước hoa của Leonardo da Vinci,"ITALYKhông chỉ sở hữu tài năng nghệ thuật và óc sáng tạo, da Vinci còn nắm rõ những kỹ thuật chế tạo nước hoa và tự tạo ra nhiều mùi hương.",https://vnexpress.net/niem-dam-me-che-tao-nuoc-hoa-cua-leonardo-da-vinci-4792336.html
Người đầu tiên bị robot giết chết cách đây 45 năm,MỸRobert Williams là người đầu tiên trong lịch sử chết do robot trong một tai nạn ở nhà máy của Ford vào ngày 25/1/1979.,https://vnexpress.net/nguoi-dau-tien-bi-robot-giet-chet-cach-day-45-nam-4791885.html
Khai mạc Techfest vùng Bắc Trung Bộ và duyên hải miền Trung năm 2024,"Techfest vùng Bắc Trung Bộ và duyên hải miền Trung năm 2024 với chủ đề ""Liên kết vùng thúc đẩy khởi nghiệp sáng tạo, phát triển bền vững"", khai mạc sáng 13/9 tại TP Huế.",https://vnexpress.net/khai-mac-techfest-vung-bac-trung-bo-va-duyen-hai-mien-trung-nam-2024-4792374.html
Những nghiên cứu hài hước đoạt giải Ig Nobel 2024,"Các nhà khoa học nghiên cứu giun say rượu, đường bơi của cá hồi chết, sử dụng bồ câu điều khiển tên lửa... được xướng tên tại lễ công bố giải Ig Nobel lần thứ 34. 12",https://vnexpress.net/nhung-nghien-cuu-hai-huoc-doat-giai-ig-nobel-2024-4792343.html
Chuyến đi bộ không gian thương mại đầu tiên trên thế giới,Phi hành đoàn tư nhân gồm 4 phi hành gia của SpaceX thực hiện chuyến đi bộ không gian thương mại đầu tiên trên thế giới trong ngày thứ ba của hành trình 5 ngày trên quỹ đạo Trái Đất. 33,https://vnexpress.net/chuyen-di-bo-khong-gian-thuong-mai-dau-tien-tren-the-gioi-4792337.html
Đám cháy rừng trông như bom nổ khi nhìn từ không gian,"MỸĐám cháy Line Fire bùng phát ở California tạo nên những đám mây lửa pyrocumulus sẫm màu, kèm theo sau đó là giông sét.",https://vnexpress.net/dam-chay-rung-trong-nhu-bom-no-khi-nhin-tu-khong-gian-4792441.html
Dòng hải lưu Đại Tây Dương suy yếu khiến gió mùa nhiệt đới đảo lộn,"Nghiên cứu mới chỉ ra, dòng hải lưu Đại Tây Dương suy yếu khiến gió mùa nhiệt đới bị đảo lộn trong ít nhất 100 năm, mùa mưa ngắn hơn, bão nhiều hơn.",https://vnexpress.net/dong-hai-luu-dai-tay-duong-suy-yeu-khien-gio-mua-nhiet-doi-dao-lon-4792128.html
Kỷ lục nhiều người nhất cùng sống trên quỹ đạo Trái Đất,"Ba phi hành gia bay tới Trạm Vũ trụ Quốc tế (ISS) sáng sớm ngày 12/9 (giờ Hà Nội), đưa tổng số người trên quỹ đạo Trái Đất lên 19. 43",https://vnexpress.net/ky-luc-nhieu-nguoi-nhat-cung-song-tren-quy-dao-trai-dat-4791903.html
Chim sẻ 'ma cà rồng' chuyên hút máu chim điên,Những con chim sẻ sinh sôi trên đảo Wolf thuộc quần đảo Galápagos nhờ nguồn cung cấp máu vô tận từ chim điên. 15,https://vnexpress.net/chim-se-ma-ca-rong-chuyen-hut-mau-chim-dien-4791887.html
Thước phim tàu săn Nhật Bản bắt giết cá voi vây,Công ty săn cá voi Kyodo Senpaku hôm 11/9 công bố thước phim về con cá voi vây đầu tiên bị đánh bắt thương mại sau gần 50 năm. 66,https://vnexpress.net/thuoc-phim-tau-san-nhat-ban-bat-giet-ca-voi-vay-4792052.html
"NASA bật động cơ đẩy tàu Voyager từ khoảng cách 24,6 tỷ km",NASA bật thành công động cơ đẩy trên tàu Voyager 1 đang bay cách Trái Đất 24.630.000.000 km. 61,https://vnexpress.net/nasa-bat-dong-co-day-tau-voyager-tu-khoang-cach-24-6-ty-km-4791886.html
Thủy điện Hòa Bình sẵn sàng ứng phó tình huống khẩn cấp,"Công ty Thủy điện Hòa Bình cho biết đã chủ động chuẩn bị các phương án bảo vệ đập, phương án phòng chống thiên tai, hiện công trình vận hành ổn định, an toàn.",https://vnexpress.net/thuy-dien-hoa-binh-san-sang-ung-pho-tinh-huong-khan-cap-4792061.html
Nhật Bản loại bỏ nhiên liệu phóng xạ từ nhà máy Fukushima,Công nghệ robot tiên tiến bao gồm cánh tay giống cần câu cá đang được sử dụng để thu gom vật liệu độc hại từ các lò phản ứng ở nhà máy Fukushima trong môi trường độ phóng xạ cao.,https://vnexpress.net/nhat-ban-loai-bo-nhien-lieu-phong-xa-tu-nha-may-fukushima-4792066.html
Radar Trung Quốc phát hiện bong bóng plasma trên kim tự tháp Giza,Các nhà nghiên cứu tại Viện Khoa học Trung Quốc phát hiện bong bóng plasma trên kim tự tháp Giza của Ai Cập từ khoảng cách 8.000 km theo thời gian thực. 15,https://vnexpress.net/radar-trung-quoc-phat-hien-bong-bong-plasma-tren-kim-tu-thap-giza-4791991.html
